sales_id,sale_date,mr_id,doctor_id,product_id,units_sold,revenue,territory
65,2024-10-15,86,153,36,59,8227.55,Delhi
66,2025-12-13,90,66,35,19,6411.17,Mumbai
67,2025-11-18,22,382,10,6,1231.98,Delhi
68,2024-11-21,89,383,35,8,2699.44,Mumbai
69,2024-10-01,76,360,8,30,9490.5,Pune
70,2026-05-19,21,464,25,50,18665.5,Delhi
71,2025-09-07,32,403,25,4,1493.24,Hyderabad
72,2025-02-19,80,73,36,12,1673.4,Mumbai
73,2026-03-20,77,249,6,2,538.32,Mumbai
74,2025-06-07,93,244,43,2,841.16,Mumbai
75,2024-12-05,18,402,49,16,6606.08,Chennai
76,2024-06-28,54,234,41,8,415.04,Mumbai
77,2025-12-13,92,33,43,13,5467.54,Mumbai
78,2026-04-06,24,491,46,1,356.62,Pune
79,2025-07-29,40,105,37,61,23172.07,Delhi
80,2024-09-25,28,45,6,17,4575.72,Mumbai
81,2025-11-21,26,180,24,52,6098.56,Bangalore
82,2024-09-09,8,137,32,53,17185.78,Mumbai
83,2024-10-10,99,365,1,6,539.7,Mumbai
84,2025-09-06,23,496,16,49,20069.42,Hyderabad
85,2025-08-13,92,168,17,5,2212.3,Pune
86,2024-09-11,27,216,24,40,4691.2,Chennai
87,2025-05-10,50,176,31,19,8625.81,Hyderabad
88,2024-08-11,72,28,42,33,3576.87,Mumbai
89,2025-02-28,93,455,34,1,330.29,Bangalore
90,2026-01-30,6,417,15,31,2800.54,Bangalore
91,2025-07-30,58,449,28,7,1221.64,Chennai
92,2024-12-20,61,436,42,1,108.39,Hyderabad
93,2025-07-14,58,441,13,1,342.25,Pune
94,2026-01-19,90,382,23,59,20412.82,Pune
95,2024-09-14,65,8,27,21,3672.06,Bangalore
96,2026-02-18,8,320,3,31,12549.42,Chennai
97,2024-11-12,43,15,47,8,3620.0,Chennai
98,2025-08-27,23,472,47,20,9050.0,Pune
99,2025-10-05,64,289,18,9,3210.03,Delhi
100,2025-12-07,97,130,18,49,17476.83,Bangalore
101,2026-06-01,13,204,27,50,8743.0,Hyderabad
102,2024-12-19,71,173,15,6,542.04,Mumbai
103,2026-02-14,18,174,28,26,4537.52,Pune
104,2024-06-13,97,99,2,48,11070.24,Mumbai
105,2026-05-24,63,226,43,13,5467.54,Mumbai
106,2024-11-24,3,420,46,38,13551.56,Delhi
107,2025-10-25,51,26,12,7,2836.47,Bangalore
108,2025-10-15,34,349,50,22,10052.02,Delhi
109,2024-12-19,40,206,23,42,14531.16,Hyderabad
110,2024-07-27,55,459,36,49,6833.05,Chennai
111,2026-03-29,33,218,28,14,2443.28,Delhi
112,2025-07-01,55,421,24,36,4222.08,Delhi
113,2025-02-19,69,146,13,16,5476.0,Chennai
114,2025-10-27,81,405,11,3,368.31,Chennai
115,2025-12-21,55,202,5,41,17768.99,Mumbai
116,2026-05-05,48,165,22,20,3413.2,Pune
117,2024-07-16,24,112,28,3,523.56,Hyderabad
118,2024-10-30,23,354,24,31,3635.68,Chennai
119,2026-03-12,39,297,3,19,7691.58,Delhi
120,2024-09-15,33,305,5,14,6067.46,Delhi
121,2025-12-09,19,375,33,41,10869.92,Bangalore
122,2026-03-25,77,461,43,1,420.58,Hyderabad
123,2025-03-12,73,180,3,27,10930.14,Hyderabad
124,2026-01-04,69,325,11,35,4296.95,Chennai
125,2026-01-17,73,345,12,80,32416.8,Bangalore
126,2024-11-15,12,319,5,12,5200.68,Mumbai
127,2024-07-02,33,220,9,10,601.7,Hyderabad
128,2025-06-25,89,183,37,4,1519.48,Chennai
129,2025-10-27,37,445,3,16,6477.12,Mumbai
130,2024-12-22,36,101,22,17,2901.22,Hyderabad
131,2025-10-20,37,384,19,23,4325.61,Mumbai
132,2025-12-10,64,271,20,8,1289.92,Delhi
133,2025-06-24,59,68,21,48,18252.96,Hyderabad
134,2025-12-09,43,419,42,20,2167.8,Mumbai
135,2025-03-19,27,199,28,39,6806.28,Bangalore
136,2025-07-31,36,402,19,9,1692.63,Chennai
137,2026-01-31,87,278,27,21,3672.06,Mumbai
138,2025-09-17,92,475,36,29,4044.05,Delhi
139,2024-11-16,2,262,12,29,11751.09,Delhi
140,2025-09-09,46,474,48,14,1459.36,Hyderabad
141,2025-03-11,77,196,7,4,1780.96,Bangalore
142,2024-11-25,34,160,24,30,3518.4,Mumbai
143,2025-03-21,69,365,23,41,14185.18,Hyderabad
144,2024-11-07,68,314,5,40,17335.6,Hyderabad
145,2026-06-09,83,474,18,3,1070.01,Hyderabad
146,2026-03-03,66,405,3,16,6477.12,Mumbai
147,2024-07-28,64,326,19,3,564.21,Delhi
148,2025-01-12,32,332,23,3,1037.94,Hyderabad
149,2024-07-12,96,104,6,9,2422.44,Delhi
150,2024-07-07,75,124,31,20,9079.8,Pune
151,2024-07-08,57,475,18,71,25323.57,Bangalore
152,2026-04-02,97,265,30,18,6353.64,Delhi
153,2025-09-18,86,427,36,22,3067.9,Hyderabad
154,2024-09-02,4,130,40,45,21410.1,Mumbai
155,2026-02-12,57,246,33,40,10604.8,Bangalore
156,2025-03-30,86,2,26,13,3510.0,Bangalore
157,2025-06-08,68,105,17,55,24335.3,Delhi
158,2025-02-03,18,381,21,18,6844.86,Pune
159,2025-01-16,44,470,2,63,14529.69,Chennai
160,2025-01-23,44,449,13,59,20192.75,Bangalore
161,2025-06-01,33,408,20,9,1451.16,Chennai
162,2025-04-17,20,312,17,15,6636.9,Mumbai
163,2025-09-19,65,260,33,1,265.12,Pune
164,2024-07-11,99,212,47,8,3620.0,Mumbai
165,2026-02-13,49,26,12,13,5267.73,Chennai
166,2025-09-06,99,451,13,40,13690.0,Hyderabad
167,2025-06-09,96,224,38,7,402.01,Hyderabad
168,2026-06-01,28,73,1,32,2878.4,Mumbai
169,2024-06-13,15,267,27,64,11191.04,Bangalore
170,2024-08-08,15,117,46,43,15334.66,Pune
171,2026-06-02,74,73,36,6,836.7,Delhi
172,2024-09-26,7,131,50,18,8224.38,Pune
173,2025-08-08,86,12,46,51,18187.62,Hyderabad
174,2024-09-14,95,85,15,19,1716.46,Pune
175,2025-01-21,29,431,31,23,10441.77,Chennai
176,2025-09-28,84,117,47,10,4525.0,Delhi
177,2026-05-27,34,266,31,26,11803.74,Chennai
178,2026-03-25,47,63,30,2,705.96,Mumbai
179,2026-05-24,8,1,2,58,13376.54,Hyderabad
180,2025-11-04,28,118,15,13,1174.42,Hyderabad
181,2024-09-19,61,180,15,3,271.02,Delhi
182,2025-12-14,45,300,23,57,19720.86,Chennai
183,2025-12-13,81,14,25,11,4106.41,Pune
184,2024-10-05,72,421,40,36,17128.08,Mumbai
185,2024-11-06,85,68,45,9,1994.85,Delhi
186,2025-10-13,22,439,22,11,1877.26,Mumbai
187,2025-02-17,34,22,35,42,14172.06,Mumbai
188,2025-11-08,12,70,21,4,1521.08,Chennai
189,2025-12-14,74,359,15,38,3432.92,Pune
190,2025-05-28,8,387,28,10,1745.2,Pune
191,2025-10-06,26,92,38,52,2986.36,Bangalore
192,2026-03-11,65,26,35,7,2362.01,Bangalore
193,2025-05-12,58,19,14,1,203.62,Pune
194,2025-10-10,43,319,39,18,2829.42,Delhi
195,2025-10-09,100,171,46,14,4992.68,Pune
196,2025-03-22,4,500,47,30,13575.0,Bangalore
197,2025-08-22,70,63,43,10,4205.8,Bangalore
198,2024-08-10,18,24,26,27,7290.0,Pune
199,2026-02-09,88,50,34,15,4954.35,Pune
200,2024-07-18,14,453,44,12,4411.56,Pune
201,2024-10-17,96,249,43,8,3364.64,Delhi
202,2025-08-02,39,71,26,11,2970.0,Bangalore
203,2024-07-08,25,359,15,43,3884.62,Chennai
204,2025-07-05,77,151,14,3,610.86,Hyderabad
205,2024-12-29,47,436,28,5,872.6,Delhi
206,2024-06-23,76,41,9,55,3309.35,Mumbai
207,2025-10-20,54,461,33,5,1325.6,Chennai
208,2024-10-02,92,426,48,19,1980.56,Hyderabad
209,2025-12-27,92,491,23,5,1729.9,Bangalore
210,2024-11-11,9,472,23,32,11071.36,Pune
211,2026-03-10,20,107,40,37,17603.86,Chennai
212,2026-05-10,82,452,6,41,11035.56,Mumbai
213,2025-03-14,55,126,31,31,14073.69,Bangalore
214,2025-04-02,4,423,6,8,2153.28,Chennai
215,2024-11-24,69,68,31,37,16797.63,Mumbai
216,2025-12-18,8,312,22,40,6826.4,Bangalore
217,2025-12-14,52,221,1,20,1799.0,Pune
218,2025-02-24,24,386,23,3,1037.94,Bangalore
219,2025-01-10,77,352,16,4,1638.32,Delhi
220,2025-07-08,73,410,8,13,4112.55,Bangalore
221,2024-09-06,53,432,50,9,4112.19,Bangalore
222,2026-02-13,63,175,23,12,4151.76,Bangalore
223,2026-03-08,86,42,26,30,8100.0,Pune
224,2025-12-19,19,448,16,57,23346.06,Bangalore
225,2024-12-29,20,327,35,45,15184.35,Mumbai
226,2024-06-14,64,196,2,6,1383.78,Bangalore
227,2025-05-24,51,489,4,19,1444.38,Mumbai
228,2025-05-02,55,201,6,14,3768.24,Chennai
229,2026-05-06,35,144,32,8,2594.08,Pune
230,2024-08-18,31,146,12,29,11751.09,Bangalore
231,2025-09-10,21,155,33,70,18558.4,Mumbai
232,2025-04-21,83,424,35,9,3036.87,Delhi
233,2025-07-07,49,53,16,44,18021.52,Mumbai
234,2025-10-29,20,125,22,38,6485.08,Chennai
235,2024-10-14,26,350,8,21,6643.35,Hyderabad
236,2025-09-14,41,275,45,10,2216.5,Pune
237,2025-10-12,14,297,47,10,4525.0,Mumbai
238,2025-07-03,62,60,14,8,1628.96,Chennai
239,2024-12-30,76,70,9,18,1083.06,Chennai
240,2024-09-29,9,401,30,16,5647.68,Delhi
241,2026-06-08,33,208,7,5,2226.2,Delhi
242,2024-08-03,28,52,19,17,3197.19,Pune
243,2025-02-22,70,340,34,27,8917.83,Bangalore
244,2026-02-06,84,392,40,30,14273.4,Chennai
245,2025-08-29,38,37,46,11,3922.82,Mumbai
246,2026-05-12,59,265,26,60,16200.0,Bangalore
247,2025-01-14,93,180,1,5,449.75,Bangalore
248,2024-12-09,51,80,23,7,2421.86,Bangalore
249,2024-07-18,27,118,39,5,785.95,Delhi
250,2024-06-21,19,379,19,57,10719.99,Chennai
251,2025-04-16,36,163,7,2,890.48,Delhi
252,2025-03-21,72,228,2,36,8302.68,Mumbai
253,2025-01-22,52,465,33,9,2386.08,Chennai
254,2025-05-03,77,491,29,5,2288.85,Bangalore
255,2026-01-30,25,335,3,11,4453.02,Chennai
256,2026-02-01,74,465,15,36,3252.24,Mumbai
257,2026-03-06,89,218,49,6,2477.28,Bangalore
258,2025-10-02,20,163,15,46,4155.64,Hyderabad
259,2024-07-03,82,5,43,28,11776.24,Pune
260,2024-10-11,18,275,21,35,13309.45,Delhi
261,2024-12-21,29,6,28,15,2617.8,Pune
262,2026-02-02,92,310,22,5,853.3,Delhi
263,2025-12-24,9,383,43,57,23973.06,Hyderabad
264,2024-10-09,74,231,29,23,10528.71,Mumbai
265,2024-07-07,67,40,43,54,22711.32,Chennai
266,2025-01-18,3,409,40,15,7136.7,Pune
267,2025-04-04,99,355,4,51,3877.02,Chennai
268,2026-06-03,9,489,38,46,2641.78,Mumbai
269,2024-12-24,86,80,6,9,2422.44,Bangalore
270,2026-05-16,5,57,11,23,2823.71,Chennai
271,2025-09-12,23,72,7,12,5342.88,Mumbai
272,2025-01-15,23,147,45,41,9087.65,Bangalore
273,2025-01-29,50,474,21,51,19393.77,Mumbai
274,2026-01-17,70,81,12,15,6078.15,Mumbai
275,2024-08-30,53,338,28,24,4188.48,Mumbai
276,2024-09-11,10,489,11,43,5279.11,Pune
277,2026-02-28,40,29,23,33,11417.34,Hyderabad
278,2026-04-17,34,393,50,10,4569.1,Mumbai
279,2024-07-30,63,363,35,29,9785.47,Delhi
280,2026-01-06,39,53,42,69,7478.91,Mumbai
281,2024-09-27,5,109,29,24,10986.48,Pune
282,2024-07-17,92,443,47,27,12217.5,Pune
283,2026-04-28,49,10,9,56,3369.52,Mumbai
284,2024-11-21,85,293,35,7,2362.01,Chennai
285,2025-01-21,16,309,8,17,5377.95,Chennai
286,2024-11-15,63,218,24,4,469.12,Mumbai
287,2025-06-25,70,385,47,9,4072.5,Hyderabad
288,2025-10-27,3,192,22,13,2218.58,Delhi
289,2025-02-03,59,359,21,65,24717.55,Hyderabad
290,2026-02-09,40,217,3,48,19431.36,Pune
291,2025-09-02,39,322,32,51,16537.26,Delhi
292,2024-11-29,42,289,10,14,2874.62,Pune
293,2026-05-25,44,261,33,72,19088.64,Bangalore
294,2026-01-16,15,62,4,10,760.2,Pune
295,2026-02-10,88,488,33,12,3181.44,Pune
296,2025-03-08,39,179,17,55,24335.3,Chennai
297,2024-08-29,15,19,20,45,7255.8,Pune
298,2025-09-21,59,205,1,18,1619.1,Pune
299,2024-12-02,58,15,18,1,356.67,Delhi
300,2025-03-16,60,167,44,8,2941.04,Hyderabad
301,2025-12-18,55,455,10,17,3490.61,Pune
302,2024-07-24,15,235,26,39,10530.0,Pune
303,2025-07-04,93,324,42,3,325.17,Chennai
304,2024-11-24,86,427,9,31,1865.27,Delhi
305,2025-08-25,72,436,40,28,13321.84,Mumbai
306,2025-03-08,70,23,41,31,1608.28,Mumbai
307,2025-02-05,32,377,48,6,625.44,Hyderabad
308,2025-08-25,21,492,37,52,19753.24,Hyderabad
309,2024-07-23,98,21,32,18,5836.68,Pune
310,2024-07-25,53,32,32,6,1945.56,Chennai
311,2026-01-03,25,125,2,61,14068.43,Delhi
312,2026-04-20,74,444,22,33,5631.78,Pune
313,2026-04-15,75,349,22,57,9727.62,Chennai
314,2025-11-16,3,446,3,24,9715.68,Delhi
315,2025-11-13,56,96,29,17,7782.09,Hyderabad
316,2026-02-13,68,252,25,40,14932.4,Hyderabad
317,2025-10-14,6,240,5,69,29903.91,Hyderabad
318,2024-12-01,76,285,23,23,7957.54,Chennai
319,2026-05-22,57,2,29,45,20599.65,Delhi
320,2024-12-04,95,120,7,12,5342.88,Hyderabad
321,2024-06-20,22,141,25,12,4479.72,Delhi
322,2024-11-22,44,280,22,16,2730.56,Delhi
323,2025-08-21,19,312,40,58,27595.24,Pune
324,2024-10-14,24,247,33,5,1325.6,Delhi
325,2024-08-04,27,483,2,37,8533.31,Delhi
326,2025-01-13,2,154,30,26,9177.48,Delhi
327,2024-06-10,86,4,2,22,5073.86,Mumbai
328,2024-11-22,98,499,6,8,2153.28,Delhi
329,2025-11-03,41,204,4,23,1748.46,Bangalore
330,2025-11-12,27,468,18,35,12483.45,Hyderabad
331,2024-12-19,11,98,30,1,352.98,Chennai
332,2025-03-30,75,393,6,19,5114.04,Bangalore
333,2026-03-21,40,63,41,46,2386.48,Delhi
334,2025-07-06,43,259,16,19,7782.02,Hyderabad
335,2025-06-28,40,448,48,59,6150.16,Delhi
336,2025-11-02,17,157,16,27,11058.66,Hyderabad
337,2024-11-29,27,33,23,13,4497.74,Pune
338,2026-05-28,85,146,16,10,4095.8,Mumbai
339,2025-12-05,38,39,1,2,179.9,Chennai
340,2025-04-23,41,494,29,54,24719.58,Hyderabad
341,2025-05-02,10,267,9,57,3429.69,Hyderabad
342,2025-10-10,7,365,40,4,1903.12,Pune
343,2024-07-03,91,104,13,40,13690.0,Chennai
344,2025-12-26,47,206,26,3,810.0,Delhi
345,2024-10-08,18,59,29,45,20599.65,Hyderabad
346,2025-12-22,93,297,48,1,104.24,Chennai
347,2025-01-14,65,225,24,8,938.24,Chennai
348,2024-09-25,36,371,18,19,6776.73,Bangalore
349,2025-10-25,66,272,2,13,2998.19,Chennai
350,2025-07-22,84,424,33,39,10339.68,Hyderabad
351,2026-02-02,74,172,24,30,3518.4,Pune
352,2026-02-01,64,18,41,8,415.04,Chennai
353,2025-04-20,21,198,13,58,19850.5,Delhi
354,2024-10-14,85,88,4,7,532.14,Bangalore
355,2024-12-28,32,91,14,1,203.62,Bangalore
356,2025-01-08,66,44,9,18,1083.06,Mumbai
357,2026-03-30,99,56,27,49,8568.14,Hyderabad
358,2025-10-12,42,399,18,26,9273.42,Chennai
359,2024-11-20,91,309,24,16,1876.48,Bangalore
360,2025-05-08,46,294,23,5,1729.9,Delhi
361,2025-01-07,69,93,50,21,9595.11,Delhi
362,2026-01-19,48,446,6,32,8613.12,Pune
363,2025-09-16,85,257,13,14,4791.5,Hyderabad
364,2024-10-17,74,69,31,43,19521.57,Chennai
365,2025-09-16,26,380,39,7,1100.33,Bangalore
366,2026-04-28,50,464,17,84,37166.64,Mumbai
367,2024-11-22,52,294,18,24,8560.08,Chennai
368,2024-10-28,86,414,48,29,3022.96,Pune
369,2026-01-02,19,229,5,8,3467.12,Delhi
370,2024-11-03,6,439,37,49,18613.63,Chennai
371,2024-12-29,40,442,23,34,11763.32,Delhi
372,2024-08-14,99,367,9,26,1564.42,Mumbai
373,2025-06-02,7,214,49,26,10734.88,Mumbai
374,2026-01-27,93,383,13,1,342.25,Pune
375,2025-03-26,2,348,34,33,10899.57,Mumbai
376,2026-05-02,17,387,43,30,12617.4,Delhi
377,2025-05-13,62,336,17,66,29202.36,Delhi
378,2026-02-13,23,66,31,38,17251.62,Bangalore
379,2025-11-24,100,162,2,32,7380.16,Mumbai
380,2026-06-04,86,258,38,31,1780.33,Bangalore
381,2025-04-04,24,22,45,6,1329.9,Mumbai
382,2026-01-22,54,36,31,6,2723.94,Bangalore
383,2025-05-04,4,264,8,23,7276.05,Delhi
384,2025-10-15,87,62,49,31,12799.28,Hyderabad
385,2026-05-21,65,192,23,6,2075.88,Pune
386,2026-03-24,38,144,3,7,2833.74,Delhi
387,2026-06-05,100,201,40,7,3330.46,Pune
388,2025-02-10,39,371,38,53,3043.79,Bangalore
389,2026-01-15,92,11,4,45,3420.9,Hyderabad
390,2024-11-14,85,82,14,15,3054.3,Hyderabad
391,2024-11-05,68,377,37,47,17853.89,Chennai
392,2025-07-19,20,75,7,42,18700.08,Chennai
393,2025-05-13,70,237,11,78,9576.06,Hyderabad
394,2024-07-11,89,38,40,4,1903.12,Pune
395,2024-10-30,3,453,1,39,3508.05,Hyderabad
396,2025-04-13,40,49,24,64,7505.92,Hyderabad
397,2026-05-13,92,118,9,16,962.72,Mumbai
398,2025-11-25,12,15,22,5,853.3,Delhi
399,2025-12-14,28,255,7,6,2671.44,Chennai
400,2025-03-17,59,475,27,52,9092.72,Pune
401,2025-01-30,43,280,3,8,3238.56,Hyderabad
402,2025-09-20,69,18,21,16,6084.32,Pune
403,2024-11-17,32,248,19,4,752.28,Bangalore
404,2025-01-10,90,425,31,61,27693.39,Mumbai
405,2024-12-20,72,297,7,6,2671.44,Hyderabad
406,2025-09-19,46,222,1,6,539.7,Chennai
407,2025-07-27,96,184,15,1,90.34,Mumbai
408,2025-04-03,57,366,43,49,20608.42,Hyderabad
409,2026-04-18,5,295,49,6,2477.28,Delhi
410,2025-06-14,96,87,27,7,1224.02,Bangalore
411,2025-09-25,21,415,17,15,6636.9,Bangalore
412,2026-05-28,64,432,2,4,922.52,Hyderabad
413,2026-03-30,92,74,31,39,17705.61,Hyderabad
414,2024-11-01,23,346,49,42,17340.96,Delhi
415,2025-03-13,31,195,50,28,12793.48,Hyderabad
416,2024-09-19,69,20,6,22,5921.52,Pune
417,2024-11-28,69,220,17,41,18140.86,Delhi
418,2025-03-07,83,229,5,5,2166.95,Pune
419,2025-11-18,12,62,22,8,1365.28,Delhi
420,2025-02-14,20,213,4,25,1900.5,Pune
421,2024-11-14,8,411,38,13,746.59,Delhi
422,2024-09-29,75,431,28,12,2094.24,Chennai
423,2025-07-03,82,118,14,63,12828.06,Bangalore
424,2025-07-30,28,43,11,17,2087.09,Pune
425,2025-10-08,33,202,14,16,3257.92,Delhi
426,2026-03-06,68,380,40,46,21885.88,Bangalore
427,2024-10-02,32,206,1,1,89.95,Delhi
428,2024-09-13,40,67,27,58,10141.88,Mumbai
429,2025-10-24,100,421,7,41,18254.84,Pune
430,2024-11-26,13,90,25,24,8959.44,Bangalore
431,2024-10-21,70,281,32,17,5512.42,Pune
432,2026-01-03,27,409,11,42,5156.34,Hyderabad
433,2024-08-25,96,152,39,2,314.38,Chennai
434,2026-05-04,72,244,50,9,4112.19,Mumbai
435,2024-09-21,52,202,28,19,3315.88,Bangalore
436,2025-09-30,26,348,35,41,13834.63,Pune
437,2025-05-13,3,346,3,16,6477.12,Mumbai
438,2026-01-26,43,67,3,8,3238.56,Delhi
439,2024-06-19,86,285,48,9,938.16,Delhi
440,2026-01-11,97,479,48,41,4273.84,Hyderabad
441,2024-10-21,58,411,27,3,524.58,Delhi
442,2024-09-05,40,301,18,97,34596.99,Hyderabad
443,2025-02-26,94,252,33,19,5037.28,Chennai
444,2026-05-03,67,120,41,60,3112.8,Hyderabad
445,2025-03-15,76,64,38,25,1435.75,Hyderabad
446,2026-02-27,66,331,47,6,2715.0,Pune
447,2025-06-27,4,237,42,35,3793.65,Mumbai
448,2025-12-13,15,306,28,28,4886.56,Chennai
449,2024-11-15,28,341,1,10,899.5,Mumbai
450,2024-06-11,82,381,38,20,1148.6,Pune
451,2024-06-09,26,185,48,26,2710.24,Mumbai
452,2025-01-17,74,234,5,7,3033.73,Mumbai
453,2025-05-13,67,104,9,19,1143.23,Bangalore
454,2025-07-22,39,415,7,54,24042.96,Hyderabad
455,2026-03-31,43,51,11,16,1964.32,Chennai
456,2025-09-22,100,497,14,47,9570.14,Delhi
457,2024-07-30,72,316,38,27,1550.61,Pune
458,2025-03-27,41,273,37,11,4178.57,Bangalore
459,2024-12-11,84,380,44,20,7352.6,Bangalore
460,2026-02-23,82,411,8,46,14552.1,Hyderabad
461,2025-10-05,17,183,43,12,5046.96,Mumbai
462,2026-04-16,45,66,43,27,11355.66,Mumbai
463,2025-01-26,85,463,46,7,2496.34,Hyderabad
464,2024-10-21,66,339,34,2,660.58,Bangalore
465,2025-09-06,47,79,23,1,345.98,Mumbai
466,2025-08-15,43,144,31,4,1815.96,Pune
467,2025-10-12,1,198,26,41,11070.0,Hyderabad
468,2025-12-01,21,415,26,51,13770.0,Mumbai
469,2024-11-01,12,302,15,11,993.74,Chennai
470,2026-04-25,93,225,5,1,433.39,Hyderabad
471,2025-10-12,47,114,25,4,1493.24,Bangalore
472,2025-05-11,78,276,20,7,1128.68,Chennai
473,2025-06-20,29,21,28,23,4013.96,Mumbai
474,2025-12-24,97,329,50,30,13707.3,Chennai
475,2024-09-20,57,438,3,40,16192.8,Hyderabad
476,2026-05-15,62,131,43,40,16823.2,Pune
477,2025-06-17,61,114,26,9,2430.0,Bangalore
478,2026-06-04,2,71,27,3,524.58,Mumbai
479,2025-04-15,53,181,9,53,3189.01,Hyderabad
480,2026-02-21,100,347,11,7,859.39,Delhi
481,2025-03-22,90,156,28,33,5759.16,Delhi
482,2025-01-05,41,273,30,18,6353.64,Hyderabad
483,2026-04-28,83,124,28,2,349.04,Mumbai
484,2025-09-07,14,479,34,4,1321.16,Mumbai
485,2024-07-13,35,86,25,27,10079.37,Mumbai
486,2025-10-02,23,43,49,38,15689.44,Delhi
487,2025-02-28,29,115,43,20,8411.6,Chennai
488,2024-10-15,45,154,44,30,11028.9,Bangalore
489,2026-01-24,35,211,42,23,2492.97,Hyderabad
490,2026-03-20,17,408,28,4,698.08,Bangalore
491,2026-01-20,40,211,41,37,1919.56,Mumbai
492,2024-09-20,69,247,43,16,6729.28,Delhi
493,2024-09-22,78,484,36,1,139.45,Pune
494,2025-02-02,37,390,22,42,7167.72,Mumbai
495,2024-07-21,70,227,37,31,11775.97,Delhi
496,2025-01-10,65,139,47,5,2262.5,Chennai
497,2024-07-31,88,210,36,26,3625.7,Hyderabad
498,2025-12-15,70,456,9,9,541.53,Bangalore
499,2026-02-01,45,452,19,47,8839.29,Chennai
500,2026-03-17,61,199,25,13,4853.03,Mumbai
501,2025-06-30,10,329,41,54,2801.52,Delhi
502,2025-03-07,49,174,32,55,17834.3,Delhi
503,2026-01-27,34,153,38,11,631.73,Pune
504,2025-04-17,62,416,29,28,12817.56,Bangalore
505,2025-02-07,79,110,15,8,722.72,Pune
506,2024-09-30,85,162,40,8,3806.24,Bangalore
507,2026-04-19,2,94,25,21,7839.51,Delhi
508,2026-06-08,73,126,25,8,2986.48,Pune
